iter	Passed	Remaining
0	3	720
1	6	662
2	9	643
3	12	620
4	15	621
5	19	620
6	21	592
7	24	576
8	26	561
9	29	556
10	31	549
11	34	538
12	36	530
13	39	522
14	41	515
15	44	510
16	47	506
17	49	500
18	51	493
19	54	489
20	56	484
21	60	487
22	63	485
23	65	480
24	68	476
25	70	471
26	72	466
27	75	466
28	80	473
29	83	471
30	86	468
31	88	463
32	91	461
33	94	459
34	96	453
35	98	448
36	100	444
37	103	439
38	105	437
39	108	433
40	111	431
41	113	427
42	115	422
43	117	418
44	120	414
45	123	412
46	125	408
47	127	404
48	130	401
49	132	397
50	134	393
51	137	391
52	140	388
53	142	385
54	145	382
55	147	379
56	149	375
57	152	372
58	155	370
59	157	367
60	159	364
61	162	361
62	164	358
63	167	355
64	170	353
65	172	350
66	175	347
67	177	344
68	179	341
69	182	338
70	184	335
71	187	333
72	190	330
73	192	327
74	194	324
75	197	322
76	200	320
77	203	318
78	206	315
79	208	312
80	211	310
81	213	307
82	216	304
83	218	302
84	221	299
85	223	296
86	226	293
87	228	290
88	231	288
89	234	286
90	236	283
91	239	280
92	241	277
93	243	274
94	246	272
95	249	269
96	251	267
97	253	264
98	256	261
99	258	258
100	261	256
101	264	254
102	267	252
103	270	249
104	272	246
105	274	243
106	277	241
107	280	239
108	283	237
109	286	234
110	288	231
111	291	229
112	294	226
113	297	224
114	300	221
115	302	219
116	305	216
117	307	213
118	310	211
119	313	208
120	315	206
121	318	203
122	320	200
123	323	198
124	325	195
125	328	192
126	331	190
127	333	187
128	336	185
129	338	182
130	341	179
131	344	177
132	347	174
133	349	172
134	352	169
135	354	166
136	357	164
137	360	161
138	362	159
139	364	156
140	367	153
141	369	150
142	371	148
143	374	145
144	377	143
145	379	140
146	381	137
147	384	135
148	387	132
149	390	130
150	392	127
151	395	124
152	398	122
153	400	119
154	403	117
155	405	114
156	408	111
157	411	109
158	414	106
159	416	104
160	418	101
161	421	98
162	424	96
163	427	93
164	429	91
165	432	88
166	434	85
167	437	83
168	439	80
169	442	78
170	444	75
171	447	72
172	449	70
173	453	67
174	456	65
175	458	62
176	461	59
177	463	57
178	466	54
179	469	52
180	472	49
181	475	47
182	477	44
183	480	41
184	482	39
185	485	36
186	488	33
187	491	31
188	493	28
189	496	26
190	498	23
191	501	20
192	504	18
193	506	15
194	508	13
195	511	10
196	514	7
197	516	5
198	519	2
199	522	0
